prefix,name,levels,variations,type,order,notes
sec,halftitlepage,FALSE,FALSE,1,FALSE,
sec,titlepage,FALSE,FALSE,1,FALSE,
sec,copyright-page,FALSE,FALSE,1,FALSE,
sec,dedication,FALSE,FALSE,1,FALSE,
sec,epigraph,FALSE,FALSE,1,FALSE,
sec,foreword,FALSE,FALSE,1,FALSE,
sec,preface,FALSE,FALSE,1,FALSE,use as default frontmatter section
sec,toc,FALSE,FALSE,1,FALSE,
sec,introduction,FALSE,FALSE,1,FALSE,
sec,part,FALSE,FALSE,1,FALSE,
sec,interlude,FALSE,FALSE,1,FALSE,
sec,chapter,FALSE,FALSE,1,FALSE,
sec,appendix,FALSE,FALSE,1,FALSE,use as default backmatter section
sec,colophon,FALSE,FALSE,1,FALSE,
sec,acknowledgments,FALSE,FALSE,1,FALSE,
sec,afterword,FALSE,FALSE,1,FALSE,
sec,conclusion,FALSE,FALSE,1,FALSE,
sec,glossary,FALSE,FALSE,1,FALSE,
sec,bibliography,FALSE,FALSE,1,FALSE,
sec,about-the-author,FALSE,FALSE,1,FALSE,
sec,index,FALSE,FALSE,1,FALSE,
sec,endnotes,FALSE,FALSE,1,FALSE,
wpr,fig,FALSE,FALSE,1,FALSE,
wpr,table,FALSE,FALSE,1,FALSE,
wpr,box,FALSE,TRUE,1,FALSE,
wpr,unordered-list,FALSE,TRUE,1,FALSE,"i.e., bulleted list"
wpr,epi,FALSE,TRUE,1,FALSE,
wpr,ext,FALSE,TRUE,1,FALSE,
wpr,letter,FALSE,TRUE,1,FALSE,use if (1) letter contains another element/wrapper OR (2) letter variations are needed; otherwise just use letter block styles
wpr,ordered-list,FALSE,TRUE,1,FALSE,"i.e., numbered list"
wpr,sect,TRUE,FALSE,1,FALSE,for subsections that are part of a deliberate structure. Cf. subhead.
wpr,sidebar,FALSE,TRUE,1,FALSE,
wpr,literal,FALSE,FALSE,1,FALSE,for poetry/code
wpr,simple-list,TRUE,FALSE,1,FALSE,"i.e., unordered list"
blk,title,FALSE,FALSE,1,FALSE,"use for title of any element, including parent sections, sect elements, sidebars, etc."
blk,number,FALSE,FALSE,1,FALSE,"use for section head also, i.e. FMH"
blk,p,FALSE,TRUE,1,FALSE,
blk,p-cont,FALSE,TRUE,1,FALSE,"use for later part of a single content paragraph interrupted by another element, e.g. a list or extract"
blk,v,FALSE,TRUE,1,FALSE,
blk,au,FALSE,FALSE,1,FALSE,
blk,subtitle,FALSE,FALSE,1,FALSE,
blk,epi,FALSE,FALSE,1,FALSE,
blk,dateline,FALSE,FALSE,1,FALSE,
blk,salutation,FALSE,FALSE,1,FALSE,
blk,location,FALSE,FALSE,1,FALSE,
blk,sig,FALSE,FALSE,1,FALSE,
blk,code,FALSE,FALSE,1,FALSE,
blk,note,FALSE,TRUE,1,FALSE,
blk,endnote,FALSE,FALSE,1,FALSE,
blk,footnote,FALSE,FALSE,1,FALSE,
blk,li,TRUE,FALSE,1,FALSE,
blk,li-cont,TRUE,FALSE,1,FALSE,
blk,img,FALSE,FALSE,1,FALSE,
blk,caption,FALSE,FALSE,1,FALSE,
blk,dialogue,FALSE,FALSE,1,FALSE,
blk,speaker,FALSE,TRUE,1,FALSE,
blk,quote,FALSE,FALSE,1,FALSE,
blk,line-space,FALSE,TRUE,1,FALSE,
blk,orn-space,FALSE,TRUE,1,FALSE,
blk,titlepage-contributor,FALSE,FALSE,1,FALSE,
blk,titlepage-imprint,FALSE,FALSE,1,FALSE,
blk,titlepage-publisher,FALSE,FALSE,1,FALSE,
blk,titlepage-dateline,FALSE,FALSE,1,FALSE,
wpr,footnote,FALSE,FALSE,1,FALSE,"use for footnotes containing other elements, e.g. an extract"
wpr,endnote,FALSE,FALSE,1,FALSE,"use for endnotes containing other elements, e.g. an extract"
blk,attribution,FALSE,FALSE,1,FALSE,"replaces ""source"""
blk,attribution-cont,FALSE,FALSE,1,FALSE,
blk,letter-address,FALSE,FALSE,1,TRUE,
blk,letter-salutation,FALSE,FALSE,1,FALSE,
blk,letter-date,FALSE,FALSE,1,FALSE,
blk,letter-signature,FALSE,FALSE,1,FALSE,
blk,letter-heading,FALSE,FALSE,1,FALSE,
blk,letter-body,FALSE,FALSE,1,FALSE,
blk,letter-closing,FALSE,FALSE,1,FALSE,
blk,letter-postscript,FALSE,FALSE,1,FALSE,
blk,subhead,FALSE,FALSE,1,FALSE,use for headings that are not logically part of a hierarchy
blk,delete,FALSE,FALSE,1,FALSE,use for paragraphs in source file that should be removed from output HTML
inl,bold,FALSE,FALSE,2,FALSE,
inl,ital,FALSE,FALSE,2,FALSE,
inl,under,FALSE,FALSE,2,FALSE,
inl,strike,FALSE,FALSE,2,FALSE,
inl,super,FALSE,FALSE,2,FALSE,
inl,sub,FALSE,FALSE,2,FALSE,
inl,smcap,FALSE,FALSE,2,FALSE,
inl,code,FALSE,FALSE,2,FALSE,
inl,img,FALSE,FALSE,2,FALSE,
inl,ext,FALSE,TRUE,2,FALSE,
inl,key-term,FALSE,FALSE,2,FALSE,
